TABELAS DE RESULTADOS DO QUICKSORT

===== MELHOR CASO (n=1000) =====
Repeticoes, Media, Desvio, Tempo total
15, 0.000081, 0.000013, 0.001215
16, 0.000046, 0.000001, 0.000740
17, 0.000047, 0.000004, 0.000793
18, 0.000047, 0.000004, 0.000845
19, 0.000046, 0.000000, 0.000874
20, 0.000047, 0.000002, 0.000931
21, 0.000047, 0.000003, 0.000984
22, 0.000047, 0.000003, 0.001033
23, 0.000047, 0.000003, 0.001076
24, 0.000047, 0.000003, 0.001121
25, 0.000046, 0.000002, 0.001162
26, 0.000047, 0.000002, 0.001211
27, 0.000047, 0.000004, 0.001268
28, 0.000046, 0.000002, 0.001301
29, 0.000047, 0.000004, 0.001366
30, 0.000047, 0.000003, 0.001396

===== PIOR CASO (n=1000) =====
Repeticoes,Media,Desvio,Tempo total
15,0.001830,0.000019,0.027454
16,0.001833,0.000017,0.029327
17,0.001840,0.000019,0.031279
18,0.001837,0.000015,0.033066
19,0.001839,0.000020,0.034946
20,0.001844,0.000022,0.036873
21,0.001839,0.000017,0.038629
22,0.001840,0.000019,0.040475
23,0.001839,0.000018,0.042302
24,0.001837,0.000015,0.044082
25,0.001837,0.000017,0.045915
26,0.001840,0.000020,0.047853
27,0.001835,0.000015,0.049543
28,0.001844,0.000020,0.051636
29,0.001841,0.000019,0.053388
30,0.001843,0.000021,0.055282

===== CASO MEDIO (n=1000) =====
Repeticoes,Media,Desvio,Tempo total
15,0.000143,0.000007,0.002146
16,0.000143,0.000007,0.002288
17,0.000145,0.000014,0.002460
18,0.000142,0.000007,0.002556
19,0.000142,0.000007,0.002689
20,0.000140,0.000007,0.002807
21,0.000141,0.000009,0.002962
22,0.000139,0.000006,0.003066
23,0.000144,0.000010,0.003310
24,0.000142,0.000008,0.003397
25,0.000140,0.000006,0.003511
26,0.000141,0.000006,0.003659
27,0.000142,0.000009,0.003830
28,0.000141,0.000007,0.003936
29,0.000140,0.000007,0.004061
30,0.000142,0.000012,0.004251

===== MELHOR CASO (n=5000) =====
Repeticoes, Media, Desvio, Tempo total
15, 0.000265, 0.000007, 0.003972
16, 0.000265, 0.000007, 0.004241
17, 0.000264, 0.000007, 0.004495
18, 0.000267, 0.000008, 0.004811
19, 0.000265, 0.000008, 0.005030
20, 0.000263, 0.000005, 0.005254
21, 0.000269, 0.000013, 0.005641
22, 0.000265, 0.000006, 0.005821
23, 0.000263, 0.000006, 0.006047
24, 0.000277, 0.000015, 0.006648
25, 0.000266, 0.000008, 0.006651
26, 0.000265, 0.000006, 0.006893
27, 0.000266, 0.000009, 0.007179
28, 0.000265, 0.000007, 0.007413
29, 0.000265, 0.000007, 0.007687
30, 0.000264, 0.000007, 0.007923

===== PIOR CASO (n=5000) =====
Repeticoes,Media,Desvio,Tempo total
15,0.045157,0.000247,0.677359
16,0.045123,0.000270,0.721960
17,0.044924,0.000129,0.763703
18,0.044955,0.000282,0.809196
19,0.042299,0.003139,0.803686
20,0.030972,0.002721,0.619439
21,0.028610,0.000535,0.600819
22,0.029912,0.000879,0.658054
23,0.029570,0.000678,0.680106
24,0.029474,0.000712,0.707375
25,0.028987,0.000682,0.724683
26,0.029137,0.000905,0.757562
27,0.029715,0.000782,0.802310
28,0.029970,0.000768,0.839155
29,0.029770,0.000683,0.863327
30,0.029672,0.000773,0.890151

===== CASO MEDIO (n=5000) =====
Repeticoes,Media,Desvio,Tempo total
15,0.000559,0.000012,0.008381
16,0.000568,0.000013,0.009092
17,0.000589,0.000014,0.010015
18,0.000583,0.000013,0.010497
19,0.000588,0.000010,0.011178
20,0.000591,0.000013,0.011829
21,0.000591,0.000016,0.012411
22,0.000595,0.000014,0.013093
23,0.000591,0.000011,0.013589
24,0.000582,0.000010,0.013964
25,0.000579,0.000009,0.014487
26,0.000566,0.000010,0.014706
27,0.000565,0.000009,0.015260
28,0.000562,0.000010,0.015740
29,0.000559,0.000011,0.016218
30,0.000561,0.000009,0.016837

===== MELHOR CASO (n=100000) =====
Repeticoes, Media, Desvio, Tempo total
15, 0.004316, 0.000024, 0.064739
16, 0.004309, 0.000021, 0.068938
17, 0.004360, 0.000054, 0.074115
18, 0.004365, 0.000088, 0.078572
19, 0.004396, 0.000456, 0.083519
20, 0.004390, 0.000028, 0.087795
21, 0.004409, 0.000024, 0.092580
22, 0.004405, 0.000023, 0.096913
23, 0.004402, 0.000026, 0.101257
24, 0.004419, 0.000030, 0.106053
25, 0.004414, 0.000030, 0.110353
26, 0.004423, 0.000045, 0.114995
27, 0.004288, 0.000041, 0.115780
28, 0.004236, 0.000026, 0.118618
29, 0.004219, 0.000020, 0.122357
30, 0.004206, 0.000019, 0.126178

===== PIOR CASO (n=100000) =====
Repeticoes,Media,Desvio,Tempo total
15,11.653379,0.382195,174.800688
16,10.929331,0.160201,174.869303
17,11.216172,0.548720,190.674931
18,13.102704,0.385626,235.848665
19,13.514577,0.710177,256.776964
20,13.132646,0.366297,262.652914
21,12.953863,0.379964,272.031122
22,12.925245,0.501720,284.355380
23,9.520578,1.101332,218.973283
24,10.115496,0.690423,242.771897
25,12.076064,0.635443,301.901610
26,12.938509,1.031871,336.401227
27,22.189980,18.639179,599.129460
28,31.597707,31.079651,884.735794
29,12.408597,0.614494,359.849317
30,12.782619,1.602034,383.478564

===== CASO MEDIO (n=100000) =====
Repeticoes,Media,Desvio,Tempo total
15,0.014092,0.000539,0.211387
16,0.013832,0.000440,0.221311
17,0.014794,0.000505,0.251499
18,0.015150,0.000167,0.272700
19,0.015505,0.000259,0.294586
20,0.014280,0.000146,0.285593
21,0.014163,0.000129,0.297428
22,0.014331,0.000205,0.315273
23,0.014214,0.000139,0.326919
24,0.014181,0.000084,0.340353
25,0.014189,0.000148,0.354725
26,0.014231,0.000168,0.370018
27,0.014105,0.000112,0.380836
28,0.014182,0.000194,0.397102
29,0.013632,0.000370,0.395317
30,0.013869,0.000185,0.416071

